Screen, Action, Date --- Time
Main Activity,'Sleep' Button Tapped while charging at,08/05/2019 15:40:50.060
Main Activity,'Sleep' Button Tapped while charging at,08/05/2019 15:40:54.148
Main Activity,'Sleep' Button Tapped while NOT charging at,08/05/2019 15:41:06.453
Main Activity,'Sleep' Button Tapped while NOT charging at,08/05/2019 15:41:08.706
Main Activity,'Start' Button Tapped at,08/05/2019 15:41:45.279
Pain EMA,'Back' Button Tapped at,08/05/2019 15:41:48.205
Main Activity,'Sleep' Button Tapped while charging at,08/05/2019 15:43:04.352
Main Activity,'Sleep' Button Tapped while charging at,08/05/2019 15:43:06.148
Main Activity,'Sleep' Button Tapped while charging at,08/05/2019 15:46:44.168
Main Activity,'Sleep' Button Tapped while NOT charging at,08/05/2019 15:47:10.366
Main Activity,'Sleep' Button Tapped while charging at,08/05/2019 15:48:26.370
Main Activity,'Start' Button Tapped at,08/05/2019 15:48:39.511
Pain EMA,'Back' Button Tapped at,08/05/2019 15:48:42.749
Main Activity,'Sleep' Button Tapped while charging at,08/05/2019 15:48:50.306
Main Activity,'Sleep' Button Tapped while charging at,08/05/2019 16:10:59.445
Main Activity,'Sleep' Button Tapped while NOT charging at,08/05/2019 16:12:35.440
Main Activity,'Sleep' Button Tapped while NOT charging at,08/05/2019 17:47:56.827
BESI Watchface,Screen Tapped at,08/05/2019 19:49:11.267
Main Activity,'Sleep' Button Tapped while charging at,08/05/2019 19:50:25.310
Main Activity,'Sleep' Button Tapped while charging at,08/05/2019 19:50:27.032
Main Activity,'Start' Button Tapped at,08/06/2019 00:13:18.577
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 00:13:23.220
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 00:13:24.970
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 00:13:25.376
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 00:13:25.675
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 00:13:27.649
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 00:13:28.903
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 00:13:31.284
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 00:13:35.859
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 00:13:37.834
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 00:13:39.516
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 00:13:40.615
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 00:13:41.632
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 00:13:43.015
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 00:13:52.145
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 00:13:54.653
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 00:14:01.531
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 00:14:05.488
Main Activity,'Sleep' Button Tapped while NOT charging at,08/06/2019 00:15:18.338
Main Activity,'Sleep' Button Tapped while NOT charging at,08/06/2019 00:15:20.183
Main Activity,'Sleep' Button Tapped while NOT charging at,08/06/2019 00:15:23.349
Main Activity,'Sleep' Button Tapped while NOT charging at,08/06/2019 00:15:28.343
Main Activity,'Sleep' Button Tapped while NOT charging at,08/06/2019 00:26:29.081
Main Activity,'Sleep' Button Tapped while NOT charging at,08/06/2019 02:23:10.662
Main Activity,'Sleep' Button Tapped while NOT charging at,08/06/2019 02:26:00.810
Main Activity,'Start' Button Tapped at,08/06/2019 07:01:46.817
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 07:01:58.880
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 07:02:00.469
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 07:02:00.783
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 07:02:01.673
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 07:02:02.426
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 07:02:04.712
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 07:02:08.718
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 07:02:11.307
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 07:02:11.633
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 07:02:11.880
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 07:02:12.069
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 07:02:13.297
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 07:02:13.524
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 07:02:13.697
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 07:02:14.916
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 07:02:18.246
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 07:02:22.403
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 07:02:22.710
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 07:02:22.917
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 07:02:23.058
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 07:02:24.366
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 07:02:27.642
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 07:02:29.908
Main Activity,'Start' Button Tapped at,08/06/2019 09:10:45.518
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 09:10:52.854
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 09:10:55.398
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 09:10:55.825
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 09:10:56.119
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 09:10:57.921
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 09:10:59.070
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 09:11:01.412
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 09:11:04.714
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 09:11:09.710
Pain EMA,'Back' Button Tapped at,08/06/2019 09:11:14.031
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 09:11:18.682
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 09:11:21.005
Main Activity,'Start' Button Tapped at,08/06/2019 10:19:50.971
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 10:19:53.037
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 10:19:55.599
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 10:19:55.866
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 10:19:56.102
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 10:19:58.289
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 10:19:59.457
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 10:20:01.334
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 10:20:06.826
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 10:20:08.253
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 10:20:09.114
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 10:20:10.177
Pain EMA,'Next/Submit' Button Tapped at,08/06/2019 10:20:12.451
Pain EMA,'Back' Button Tapped at,08/06/2019 10:20:16.344
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 10:20:17.645
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 10:20:19.434
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 10:20:19.742
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 10:20:21.051
Pain EMA,'First Answer Toggle' Button Tapped at,08/06/2019 10:20:22.217
