Screen, Action, Date --- Time
Main Activity,'Sleep' Button Tapped while charging at,08/05/2019 15:51:31.998
Main Activity,'Sleep' Button Tapped while charging at,08/05/2019 15:54:13.039
Main Activity,'Start' Button Tapped at,08/05/2019 15:55:43.679
Pain EMA,'Back' Button Tapped at,08/05/2019 15:55:46.334
Main Activity,'Sleep' Button Tapped while charging at,08/05/2019 15:55:52.635
Main Activity,'Sleep' Button Tapped while NOT charging at,08/05/2019 15:59:39.681
Main Activity,'Start' Button Tapped at,08/05/2019 16:00:34.661
Pain EMA,'Back' Button Tapped at,08/05/2019 16:00:37.011
Main Activity,'Sleep' Button Tapped while charging at,08/05/2019 16:01:15.686
Main Activity,'Sleep' Button Tapped while charging at,08/05/2019 16:05:22.461
Main Activity,'Sleep' Button Tapped while charging at,08/05/2019 16:06:49.172
Main Activity,'Start' Button Tapped at,08/05/2019 16:06:56.290
Pain EMA,'Back' Button Tapped at,08/05/2019 16:07:01.557
Main Activity,'Sleep' Button Tapped while NOT charging at,08/05/2019 16:07:15.665
Main Activity,'Sleep' Button Tapped while NOT charging at,08/05/2019 17:32:11.150
Main Activity,'Sleep' Button Tapped while NOT charging at,08/05/2019 17:32:52.784
Main Activity,'Sleep' Button Tapped while NOT charging at,08/05/2019 17:38:36.113
Main Activity,'Sleep' Button Tapped while NOT charging at,08/05/2019 18:14:25.629
Main Activity,'Start' Button Tapped at,08/05/2019 19:25:16.987
Pain EMA,'Next/Submit' Button Tapped at,08/05/2019 19:25:28.621
Pain EMA,'First Answer Toggle' Button Tapped at,08/05/2019 19:26:23.112
Pain EMA,'First Answer Toggle' Button Tapped at,08/05/2019 19:26:23.776
Pain EMA,'First Answer Toggle' Button Tapped at,08/05/2019 19:26:25.337
Pain EMA,'Next/Submit' Button Tapped at,08/05/2019 19:26:27.325
Pain EMA,'Next/Submit' Button Tapped at,08/05/2019 19:26:31.757
Pain EMA,'Next/Submit' Button Tapped at,08/05/2019 19:26:36.182
Pain EMA,'Back' Button Tapped at,08/05/2019 19:26:38.753
Pain EMA,'Next/Submit' Button Tapped at,08/05/2019 19:26:41.394
Pain EMA,'Next/Submit' Button Tapped at,08/05/2019 19:26:43.619
End of Day EMA Prompt,'Daily Survey' Button Tapped at,08/05/2019 19:32:39.627
Manual EMA Prompt,'Go' Button Tapped at,08/05/2019 19:32:47.170
End Of Day EMA,'Survey Reminder' Timer Initiated at,08/05/2019 19:32:47.535
End Of Day EMA,'Answer Toggle' Button Tapped at,08/05/2019 19:32:51.995
End of Day EMA,'Next/Submit' Button Tapped at,08/05/2019 19:32:53.729
End Of Day EMA,'Answer Toggle' Button Tapped at,08/05/2019 19:32:59.525
End Of Day EMA,'Answer Toggle' Button Tapped at,08/05/2019 19:33:00.422
End of Day EMA,'Next/Submit' Button Tapped at,08/05/2019 19:33:01.841
End Of Day EMA,'Answer Toggle' Button Tapped at,08/05/2019 19:33:05.954
End Of Day EMA,'Answer Toggle' Button Tapped at,08/05/2019 19:33:06.624
End Of Day EMA,'Answer Toggle' Button Tapped at,08/05/2019 19:33:07.276
End of Day EMA,'Next/Submit' Button Tapped at,08/05/2019 19:33:08.536
End Of Day EMA,'Answer Toggle' Button Tapped at,08/05/2019 19:33:11.934
End Of Day EMA,'Answer Toggle' Button Tapped at,08/05/2019 19:33:12.696
End Of Day EMA,'Answer Toggle' Button Tapped at,08/05/2019 19:33:13.407
End of Day EMA,'Next/Submit' Button Tapped at,08/05/2019 19:33:15.957
End Of Day EMA,'Answer Toggle' Button Tapped at,08/05/2019 19:33:18.829
End Of Day EMA,'Answer Toggle' Button Tapped at,08/05/2019 19:33:19.648
End Of Day EMA,'Answer Toggle' Button Tapped at,08/05/2019 19:33:20.349
End Of Day EMA,'Answer Toggle' Button Tapped at,08/05/2019 19:33:24.167
End Of Day EMA,'Answer Toggle' Button Tapped at,08/05/2019 19:33:24.793
End Of Day EMA,'Answer Toggle' Button Tapped at,08/05/2019 19:33:25.538
End of Day EMA,'Next/Submit' Button Tapped at,08/05/2019 19:33:26.656
End Of Day EMA,'Answer Toggle' Button Tapped at,08/05/2019 19:33:30.595
End Of Day EMA,'Answer Toggle' Button Tapped at,08/05/2019 19:33:31.147
End of Day EMA,'Next/Submit' Button Tapped at,08/05/2019 19:33:32.158
End Of Day EMA,'Answer Toggle' Button Tapped at,08/05/2019 19:33:41.812
End Of Day EMA,'Answer Toggle' Button Tapped at,08/05/2019 19:33:43.000
